Sample, Channel 7
832282872, 1
832282922, 0
832283328, 1
832283378, 0
832283400, 1
832283426, 0
832283784, 1
832283810, 0
832283832, 1
832283858, 0
832284216, 1
832284242, 0
832286329, 1
832286427, 0
832286449, 1
832286475, 0
832286569, 1
832286595, 0
832286617, 1
832286643, 0
832286691, 1
832286715, 0
832286785, 1
832286835, 0
832288154, 1
832288275, 0
832288346, 1
832288443, 0
832288466, 1
832288515, 0
832528897, 1
832528995, 0
832529113, 1
832529139, 0
832529209, 1
832529235, 0
832529260, 1
832529307, 0
832529474, 1
832529499, 0
832529522, 1
832529547, 0
832529594, 1
832529619, 0
832530098, 1
832530196, 0
832530314, 1
832530340, 0
832530530, 1
832530556, 0
832530698, 1
832530724, 0
832530794, 1
832530844, 0
832531298, 1
832531396, 0
832531514, 1
832531540, 0
832531661, 1
832531684, 0
832532498, 1
832532596, 0
832532691, 1
832532716, 0
832532811, 1
832532836, 0
832532861, 1
832532908, 0
832533075, 1
832533100, 0
832533123, 1
832533148, 0
832533195, 1
832533220, 0
832533771, 1
832533869, 0
832533963, 1
832533989, 0
832534203, 1
832534229, 0
832534299, 1
832534349, 0
832534371, 1
832534421, 0
832534467, 1
832534517, 0
832534995, 1
832535093, 0
832535166, 1
832535189, 0
832535550, 1
832535573, 0
832535619, 1
832535645, 0
832535691, 1
832535717, 0
832536196, 1
832536293, 0
832536366, 1
832536389, 0
832536772, 1
832536798, 0
832536820, 1
832536846, 0
832537420, 1
832537518, 0
832537590, 1
832537614, 0
832537660, 1
832537686, 0
832537852, 1
832537950, 0
832538020, 1
832538046, 0
832538140, 1
832538166, 0
833014442, 1
833014540, 0
833014562, 1
833014588, 0
833014682, 1
833014708, 0
833014730, 1
833014756, 0
833014898, 1
833014948, 0
834214680, 1
834214778, 0
834214872, 1
834214898, 0
834215043, 1
834215066, 0
834215257, 1
834215282, 0
834215305, 1
834215330, 0
834215977, 1
834216075, 0
834216169, 1
834216195, 0
834216433, 1
834216483, 0
834216505, 1
834216579, 0
834216697, 1
834216723, 0
836293005, 1
836293102, 0
836293125, 1
836293150, 0
836293245, 1
836293271, 0
836293293, 1
836293318, 0
836293367, 1
836293391, 0
836293461, 1
836293511, 0
856806022, 1
856806095, 0
856806214, 1
856806240, 0
856806478, 1
856806528, 0
856806550, 1
856806575, 0
856806576, 1
856806624, 0
856806742, 1
856806768, 0
856806838, 1
856806864, 0
856806886, 1
856806912, 0
856806960, 1
856806984, 0
856807054, 1
856807104, 0
857273105, 1
857273179, 0
857273297, 1
857273323, 0
857273561, 1
857273611, 0
857273633, 1
857273659, 0
857273660, 1
857273707, 0
857273825, 1
857273851, 0
857273921, 1
857273947, 0
857273969, 1
857273995, 0
857274044, 1
857274067, 0
857274137, 1
857274187, 0
857740308, 1
857740382, 0
857740549, 1
857740574, 0
857740741, 1
857740838, 0
857740885, 1
857740910, 0
857740933, 1
857741006, 0
857741029, 1
857741054, 0
857741055, 1
857741246, 0
857741247, 1
857741295, 0
857741341, 1
857741439, 0
858207368, 1
858207442, 0
858207608, 1
858207634, 0
858207800, 1
858207898, 0
858207944, 1
858207994, 0
858208016, 1
858208066, 0
858208088, 1
858208354, 0
858208400, 1
858208498, 0
858674451, 1
858674525, 0
858674691, 1
858674717, 0
858674883, 1
858674981, 0
858675027, 1
858675053, 0
858675075, 1
858675101, 0
858675123, 1
858675149, 0
858675171, 1
858675197, 0
858675198, 1
858675365, 0
858675390, 1
858675437, 0
858675484, 1
858675581, 0
859141559, 1
859141632, 0
859141799, 1
859141824, 0
859141991, 1
859142089, 0
859142135, 1
859142185, 0
859142231, 1
859142257, 0
859142279, 1
859142304, 0
859142305, 1
859142473, 0
859142497, 1
859142545, 0
859142591, 1
859142689, 0
859608618, 1
859608692, 0
859608858, 1
859608884, 0
859609050, 1
859609148, 0
859609194, 1
859609220, 0
859609266, 1
859609316, 0
859609338, 1
859609532, 0
859609557, 1
859609604, 0
859609650, 1
859609748, 0
860075701, 1
860075775, 0
860075941, 1
860075967, 0
860076133, 1
860076231, 0
860076278, 1
860076303, 0
860076326, 1
860076399, 0
860076422, 1
860076447, 0
860076448, 1
860076615, 0
860076640, 1
860076687, 0
860076734, 1
860076831, 0
860542785, 1
860542859, 0
860543025, 1
860543051, 0
860543217, 1
860543315, 0
860543361, 1
860543411, 0
860543433, 1
860543483, 0
860543505, 1
860543699, 0
860543723, 1
860543771, 0
860543817, 1
860543915, 0
861009868, 1
861009942, 0
861010108, 1
861010134, 0
861010300, 1
861010398, 0
861010444, 1
861010470, 0
861010492, 1
861010518, 0
861010540, 1
861010566, 0
861010588, 1
861010614, 0
861010615, 1
861010782, 0
861010807, 1
861010854, 0
861010900, 1
861010998, 0
861476951, 1
861477025, 0
861477192, 1
861477217, 0
861477384, 1
861477481, 0
861477528, 1
861477577, 0
861477624, 1
861477650, 0
861477672, 1
861477697, 0
861477698, 1
861477866, 0
861477890, 1
861477938, 0
861477984, 1
861478082, 0
861944059, 1
861944133, 0
861944299, 1
861944325, 0
861944491, 1
861944589, 0
861944635, 1
861944661, 0
861944707, 1
861944757, 0
861944779, 1
861944973, 0
861944998, 1
861945045, 0
861945091, 1
861945189, 0
862411118, 1
862411192, 0
862411358, 1
862411384, 0
862411550, 1
862411648, 0
862411694, 1
862411720, 0
862411742, 1
862411816, 0
862411838, 1
862411864, 0
862411865, 1
862412032, 0
862412057, 1
862412104, 0
862412151, 1
862412248, 0
862878202, 1
862878275, 0
862878442, 1
862878468, 0
862878634, 1
862878732, 0
862878778, 1
862878828, 0
862878850, 1
862878900, 0
862878922, 1
862878947, 0
862878948, 1
862879116, 0
862879140, 1
862879188, 0
862879234, 1
862879332, 0
863345285, 1
863345359, 0
863345525, 1
863345551, 0
863345717, 1
863345815, 0
863345861, 1
863345887, 0
863345909, 1
863345935, 0
863345957, 1
863345983, 0
863346005, 1
863346031, 0
863346032, 1
863346199, 0
863346224, 1
863346271, 0
863346317, 1
863346415, 0
863812368, 1
863812442, 0
863812608, 1
863812634, 0
863812801, 1
863812898, 0
863812945, 1
863812994, 0
863813041, 1
863813066, 0
863813089, 1
863813114, 0
863813115, 1
863813282, 0
863813307, 1
863813354, 0
863813401, 1
863813499, 0
864279452, 1
864279526, 0
864279692, 1
864279718, 0
864279884, 1
864279982, 0
864280028, 1
864280054, 0
864280100, 1
864280150, 0
864280172, 1
864280366, 0
864280390, 1
864280438, 0
864280484, 1
864280582, 0
864746583, 1
864746657, 0
864746823, 1
864746849, 0
864747015, 1
864747113, 0
864747159, 1
864747185, 0
864747207, 1
864747281, 0
864747303, 1
864747329, 0
864747330, 1
864747497, 0
864747522, 1
864747569, 0
864747615, 1
864747713, 0
865213619, 1
865213692, 0
865213859, 1
865213884, 0
865214051, 1
865214148, 0
865214195, 1
865214244, 0
865214267, 1
865214317, 0
865214339, 1
865214364, 0
865214365, 1
865214533, 0
865214557, 1
865214605, 0
865214651, 1
865214749, 0
865680750, 1
865680824, 0
865680990, 1
865681016, 0
865681182, 1
865681280, 0
865681326, 1
865681352, 0
865681374, 1
865681400, 0
865681422, 1
865681448, 0
865681470, 1
865681664, 0
865681689, 1
865681736, 0
865681782, 1
865681880, 0
866147833, 1
866147907, 0
866148073, 1
866148099, 0
866148265, 1
866148363, 0
866148409, 1
866148459, 0
866148506, 1
866148531, 0
866148554, 1
866148579, 0
866148580, 1
866148747, 0
866148772, 1
866148819, 0
866148866, 1
866148963, 0
866614869, 1
866614942, 0
866615109, 1
866615135, 0
866615301, 1
866615399, 0
866615445, 1
866615471, 0
866615517, 1
866615567, 0
866615589, 1
866615783, 0
866615807, 1
866615855, 0
866615901, 1
866615999, 0
867081952, 1
867082026, 0
867082192, 1
867082218, 0
867082384, 1
867082482, 0
867082528, 1
867082554, 0
867082576, 1
867082650, 0
867082672, 1
867082698, 0
867082699, 1
867082866, 0
867082891, 1
867082938, 0
867082984, 1
867083082, 0
867549059, 1
867549133, 0
867549300, 1
867549325, 0
867549492, 1
867549589, 0
867549636, 1
867549685, 0
867549708, 1
867549757, 0
867549780, 1
867549805, 0
867549806, 1
867549973, 0
867549998, 1
867550046, 0
867550092, 1
867550190, 0
868016119, 1
868016193, 0
868016359, 1
868016385, 0
868016551, 1
868016649, 0
868016695, 1
868016721, 0
868016743, 1
868016769, 0
868016791, 1
868016817, 0
868016839, 1
868017033, 0
868017057, 1
868017105, 0
868017151, 1
868017249, 0
868483250, 1
868483324, 0
868483490, 1
868483516, 0
868483682, 1
868483780, 0
868483826, 1
868483876, 0
868483922, 1
868483948, 0
868483970, 1
868483996, 0
868483997, 1
868484164, 0
868484189, 1
868484236, 0
868484283, 1
868484380, 0
868950286, 1
868950359, 0
868950526, 1
868950552, 0
868950718, 1
868950816, 0
868950862, 1
868950888, 0
868950934, 1
868950984, 0
868951006, 1
868951031, 0
868951032, 1
868951200, 0
868951224, 1
868951272, 0
868951318, 1
868951416, 0
869417369, 1
869417443, 0
869417609, 1
869417635, 0
869417801, 1
869417899, 0
869417945, 1
869417971, 0
869417993, 1
869418067, 0
869418089, 1
869418283, 0
869418308, 1
869418355, 0
869418401, 1
869418499, 0
869884452, 1
869884526, 0
869884692, 1
869884718, 0
869884884, 1
869884982, 0
869885029, 1
869885078, 0
869885101, 1
869885150, 0
869885173, 1
869885198, 0
869885199, 1
869885366, 0
869885391, 1
869885438, 0
869885485, 1
869885582, 0
870351584, 1
870351658, 0
870351824, 1
870351850, 0
870352016, 1
870352114, 0
870352160, 1
870352186, 0
870352208, 1
870352234, 0
870352256, 1
870352282, 0
870352304, 1
870352498, 0
870352522, 1
870352570, 0
870352616, 1
870352714, 0
870818619, 1
870818693, 0
870818859, 1
870818885, 0
870819051, 1
870819149, 0
870819195, 1
870819245, 0
870819291, 1
870819317, 0
870819339, 1
870819365, 0
870819366, 1
870819533, 0
870819558, 1
870819605, 0
870819651, 1
870819749, 0
871285726, 1
871285800, 0
871285967, 1
871285992, 0
871286159, 1
871286256, 0
871286303, 1
871286328, 0
871286375, 1
871286425, 0
871286447, 1
871286472, 0
871286473, 1
871286641, 0
871286665, 1
871286713, 0
871286759, 1
871286857, 0
871752786, 1
871752860, 0
871753026, 1
871753052, 0
871753218, 1
871753316, 0
871753362, 1
871753388, 0
871753410, 1
871753484, 0
871753506, 1
871753700, 0
871753725, 1
871753772, 0
871753818, 1
871753916, 0
872219869, 1
872219943, 0
872220109, 1
872220135, 0
872220301, 1
872220399, 0
872220445, 1
872220495, 0
872220517, 1
872220567, 0
872220589, 1
872220615, 0
872220616, 1
872220783, 0
872220808, 1
872220855, 0
872220902, 1
872220999, 0
872686953, 1
872687026, 0
872687193, 1
872687219, 0
872687385, 1
872687483, 0
872687529, 1
872687555, 0
872687577, 1
872687603, 0
872687625, 1
872687651, 0
872687673, 1
872687698, 0
872687699, 1
872687867, 0
872687891, 1
872687939, 0
872687985, 1
872688083, 0
873154084, 1
873154158, 0
873154324, 1
873154350, 0
873154516, 1
873154614, 0
873154660, 1
873154710, 0
873154756, 1
873154782, 0
873154804, 1
873154830, 0
873154831, 1
873154998, 0
873155023, 1
873155070, 0
873155116, 1
873155214, 0
873621119, 1
873621193, 0
873621359, 1
873621385, 0
873621552, 1
873621649, 0
873621696, 1
873621721, 0
873621768, 1
873621817, 0
873621840, 1
873621865, 0
873621866, 1
873622033, 0
873622058, 1
873622105, 0
873622152, 1
873622249, 0
874088203, 1
874088277, 0
874088443, 1
874088469, 0
874088635, 1
874088733, 0
874088779, 1
874088805, 0
874088827, 1
874088901, 0
874088923, 1
874089117, 0
874089141, 1
874089189, 0
874089235, 1
874089333, 0
874555310, 1
874555384, 0
874555550, 1
874555576, 0
874555742, 1
874555840, 0
874555886, 1
874555936, 0
874555958, 1
874556008, 0
874556030, 1
874556056, 0
874556057, 1
874556224, 0
874556249, 1
874556296, 0
874556342, 1
874556440, 0
875022370, 1
875022443, 0
875022610, 1
875022635, 0
875022802, 1
875022899, 0
875022946, 1
875022972, 0
875022994, 1
875023020, 0
875023042, 1
875023068, 0
875023090, 1
875023115, 0
875023116, 1
875023284, 0
875023308, 1
875023356, 0
875023402, 1
875023500, 0
875489453, 1
875489527, 0
875489693, 1
875489719, 0
875489885, 1
875489983, 0
875490029, 1
875490079, 0
875490125, 1
875490151, 0
875490173, 1
875490367, 0
875490392, 1
875490439, 0
875490485, 1
875490583, 0
875956536, 1
875956610, 0
875956776, 1
875956802, 0
875956968, 1
875957066, 0
875957112, 1
875957138, 0
875957184, 1
875957234, 0
875957256, 1
875957282, 0
875957283, 1
875957450, 0
875957475, 1
875957522, 0
875957569, 1
875957666, 0
876423620, 1
876423693, 0
876423860, 1
876423886, 0
876424052, 1
876424150, 0
876424196, 1
876424222, 0
876424244, 1
876424318, 0
876424340, 1
876424534, 0
876424558, 1
876424606, 0
876424652, 1
876424750, 0
876890703, 1
876890777, 0
876890943, 1
876890969, 0
876891135, 1
876891233, 0
876891279, 1
876891329, 0
876891351, 1
876891401, 0
876891423, 1
876891449, 0
876891450, 1
876891617, 0
876891642, 1
876891689, 0
876891735, 1
876891833, 0
877357834, 1
877357908, 0
877358075, 1
877358100, 0
877358267, 1
877358364, 0
877358411, 1
877358436, 0
877358459, 1
877358484, 0
877358507, 1
877358532, 0
877358555, 1
877358580, 0
877358581, 1
877358748, 0
877358773, 1
877358821, 0
877358867, 1
877358965, 0
877824870, 1
877824944, 0
877825110, 1
877825136, 0
877825302, 1
877825400, 0
877825446, 1
877825496, 0
877825542, 1
877825568, 0
877825590, 1
877825784, 0
877825808, 1
877825856, 0
877825902, 1
877826000, 0
878292001, 1
878292075, 0
878292241, 1
878292267, 0
878292433, 1
878292531, 0
878292577, 1
878292603, 0
878292649, 1
878292699, 0
878292721, 1
878292747, 0
878292748, 1
878292915, 0
878292940, 1
878292987, 0
878293034, 1
878293131, 0
878759037, 1
878759110, 0
878759277, 1
878759303, 0
878759469, 1
878759567, 0
878759613, 1
878759639, 0
878759661, 1
878759735, 0
878759757, 1
878759782, 0
878759783, 1
878759951, 0
878759975, 1
878760023, 0
878760069, 1
878760167, 0
879226120, 1
879226194, 0
879226360, 1
879226386, 0
879226552, 1
879226650, 0
879226696, 1
879226746, 0
879226768, 1
879226818, 0
879226840, 1
879227034, 0
879227059, 1
879227106, 0
879227152, 1
879227250, 0
879693203, 1
879693277, 0
879693443, 1
879693469, 0
879693635, 1
879693733, 0
879693780, 1
879693805, 0
879693828, 1
879693853, 0
879693876, 1
879693901, 0
879693924, 1
879693949, 0
879693950, 1
879694117, 0
879694142, 1
879694189, 0
879694236, 1
879694333, 0
880160311, 1
880160385, 0
880160551, 1
880160577, 0
880160743, 1
880160841, 0
880160887, 1
880160937, 0
880160983, 1
880161009, 0
880161031, 1
880161225, 0
880161249, 1
880161297, 0
880161343, 1
880161441, 0
880627370, 1
880627444, 0
880627610, 1
880627636, 0
880627802, 1
880627900, 0
880627946, 1
880627972, 0
880628018, 1
880628068, 0
880628090, 1
880628116, 0
880628117, 1
880628284, 0
880628309, 1
880628356, 0
880628402, 1
880628500, 0
881094453, 1
881094527, 0
881094694, 1
881094719, 0
881094886, 1
881094983, 0
881095030, 1
881095055, 0
881095078, 1
881095151, 0
881095174, 1
881095199, 0
881095200, 1
881095368, 0
881095392, 1
881095440, 0
881095486, 1
881095584, 0
881561537, 1
881561611, 0
881561777, 1
881561803, 0
881561969, 1
881562067, 0
881562113, 1
881562163, 0
881562185, 1
881562235, 0
881562257, 1
881562451, 0
881562476, 1
881562523, 0
881562569, 1
881562667, 0
882028620, 1
882028694, 0
882028860, 1
882028886, 0
882029052, 1
882029150, 0
882029196, 1
882029222, 0
882029244, 1
882029270, 0
882029292, 1
882029318, 0
882029340, 1
882029366, 0
882029367, 1
882029534, 0
882029559, 1
882029606, 0
882029653, 1
882029750, 0
882495704, 1
882495777, 0
882495944, 1
882495970, 0
882496136, 1
882496234, 0
882496280, 1
882496330, 0
882496376, 1
882496402, 0
882496424, 1
882496449, 0
882496450, 1
882496618, 0
882496642, 1
882496690, 0
882496736, 1
882496834, 0
882962835, 1
882962909, 0
882963075, 1
882963101, 0
882963267, 1
882963365, 0
882963411, 1
882963437, 0
882963483, 1
882963533, 0
882963555, 1
882963581, 0
882963582, 1
882963749, 0
882963774, 1
882963821, 0
882963867, 1
882963965, 0
883429870, 1
883429944, 0
883430110, 1
883430136, 0
883430303, 1
883430400, 0
883430447, 1
883430472, 0
883430495, 1
883430568, 0
883430591, 1
883430616, 0
883430617, 1
883430784, 0
883430809, 1
883430856, 0
883430903, 1
883431000, 0
883896954, 1
883897028, 0
883897194, 1
883897220, 0
883897386, 1
883897484, 0
883897530, 1
883897580, 0
883897602, 1
883897652, 0
883897674, 1
883897868, 0
883897892, 1
883897940, 0
883897986, 1
883898084, 0
884364085, 1
884364159, 0
884364325, 1
884364351, 0
884364517, 1
884364615, 0
884364661, 1
884364687, 0
884364709, 1
884364735, 0
884364757, 1
884364783, 0
884364805, 1
884364831, 0
884364832, 1
884364999, 0
884365024, 1
884365071, 0
884365117, 1
884365215, 0
884831169, 1
884831242, 0
884831409, 1
884831434, 0
884831601, 1
884831698, 0
884831745, 1
884831795, 0
884831841, 1
884831867, 0
884831889, 1
884831914, 0
884831915, 1
884832083, 0
884832107, 1
884832155, 0
884832201, 1
884832299, 0
885298204, 1
885298278, 0
885298444, 1
885298470, 0
885298636, 1
885298734, 0
885298780, 1
885298806, 0
885298852, 1
885298902, 0
885298924, 1
885299118, 0
885299143, 1
885299190, 0
885299236, 1
885299334, 0
885765287, 1
885765361, 0
885765527, 1
885765553, 0
885765719, 1
885765817, 0
885765863, 1
885765889, 0
885765911, 1
885765985, 0
885766007, 1
885766033, 0
885766034, 1
885766201, 0
885766226, 1
885766273, 0
885766320, 1
885766417, 0
886232371, 1
886232444, 0
886232611, 1
886232637, 0
886232803, 1
886232901, 0
886232947, 1
886232997, 0
886233019, 1
886233069, 0
886233091, 1
886233116, 0
886233117, 1
886233285, 0
886233309, 1
886233357, 0
886233403, 1
886233501, 0
886699454, 1
886699528, 0
886699694, 1
886699720, 0
886699886, 1
886699984, 0
886700030, 1
886700056, 0
886700078, 1
886700104, 0
886700126, 1
886700152, 0
886700174, 1
886700200, 0
886700201, 1
886700368, 0
886700393, 1
886700440, 0
886700486, 1
886700584, 0
887166537, 1
887166611, 0
887166777, 1
887166803, 0
887166970, 1
887167067, 0
887167114, 1
887167163, 0
887167210, 1
887167235, 0
887167258, 1
887167283, 0
887167284, 1
887167452, 0
887167476, 1
887167524, 0
887167570, 1
887167668, 0
887633621, 1
887633695, 0
887633861, 1
887633887, 0
887634053, 1
887634151, 0
887634197, 1
887634223, 0
887634269, 1
887634319, 0
887634341, 1
887634535, 0
887634559, 1
887634607, 0
887634653, 1
887634751, 0
888100704, 1
888100778, 0
888100944, 1
888100970, 0
888101136, 1
888101234, 0
888101280, 1
888101306, 0
888101328, 1
888101402, 0
888101424, 1
888101450, 0
888101451, 1
888101618, 0
888101643, 1
888101690, 0
888101736, 1
888101834, 0
888567836, 1
888567909, 0
888568076, 1
888568101, 0
888568268, 1
888568366, 0
888568412, 1
888568462, 0
888568484, 1
888568534, 0
888568556, 1
888568581, 0
888568582, 1
888568750, 0
888568774, 1
888568822, 0
888568868, 1
888568966, 0
889034871, 1
889034945, 0
889035111, 1
889035137, 0
889035303, 1
889035401, 0
889035447, 1
889035473, 0
889035495, 1
889035521, 0
889035543, 1
889035569, 0
889035591, 1
889035785, 0
889035810, 1
889035857, 0
889035903, 1
889036001, 0
889501978, 1
889502052, 0
889502218, 1
889502244, 0
889502410, 1
889502508, 0
889502555, 1
889502604, 0
889502651, 1
889502676, 0
889502699, 1
889502724, 0
889502725, 1
889502892, 0
889502917, 1
889502964, 0
889503011, 1
889503108, 0
889969038, 1
889969112, 0
889969278, 1
889969304, 0
889969470, 1
889969568, 0
889969614, 1
889969640, 0
889969686, 1
889969736, 0
889969758, 1
889969952, 0
889969976, 1
889970024, 0
889970070, 1
889970168, 0
890436121, 1
890436195, 0
890436361, 1
890436387, 0
890436553, 1
890436651, 0
890436697, 1
890436723, 0
890436745, 1
890436819, 0
890436841, 1
890436867, 0
890436868, 1
890437035, 0
890437060, 1
890437107, 0
890437153, 1
890437251, 0
890903204, 1
890903278, 0
890903445, 1
890903470, 0
890903637, 1
890903734, 0
890903781, 1
890903830, 0
890903853, 1
890903902, 0
890903925, 1
890903950, 0
890903951, 1
890904119, 0
890904143, 1
890904191, 0
890904237, 1
890904335, 0
891370336, 1
891370410, 0
891370576, 1
891370602, 0
891370768, 1
891370866, 0
891370912, 1
891370938, 0
891370960, 1
891370986, 0
891371008, 1
891371034, 0
891371056, 1
891371250, 0
891371275, 1
891371322, 0
891371368, 1
891371466, 0
891837371, 1
891837445, 0
891837611, 1
891837637, 0
891837803, 1
891837901, 0
891837947, 1
891837997, 0
891838043, 1
891838069, 0
891838091, 1
891838117, 0
891838118, 1
891838285, 0
891838310, 1
891838357, 0
891838404, 1
891838501, 0
892304455, 1
892304528, 0
892304695, 1
892304721, 0
892304887, 1
892304985, 0
892305031, 1
892305057, 0
892305103, 1
892305153, 0
892305175, 1
892305200, 0
892305201, 1
892305369, 0
892305393, 1
892305441, 0
892305487, 1
892305585, 0
892771562, 1
892771636, 0
892771802, 1
892771828, 0
892771994, 1
892772092, 0
892772138, 1
892772164, 0
892772186, 1
892772260, 0
892772282, 1
892772308, 0
892772309, 1
892772476, 0
892772501, 1
892772548, 0
892772594, 1
892772692, 0
893238621, 1
893238695, 0
893238861, 1
893238887, 0
893239054, 1
893239151, 0
893239198, 1
893239247, 0
893239270, 1
893239319, 0
893239342, 1
893239367, 0
893239368, 1
893239535, 0
893239560, 1
893239607, 0
893239654, 1
893239752, 0
893705705, 1
893705779, 0
893705945, 1
893705971, 0
893706137, 1
893706235, 0
893706281, 1
893706307, 0
893706329, 1
893706355, 0
893706377, 1
893706403, 0
893706425, 1
893706619, 0
893706643, 1
893706691, 0
893706737, 1
893706835, 0
894172788, 1
894172862, 0
894173028, 1
894173054, 0
894173220, 1
894173318, 0
894173364, 1
894173414, 0
894173460, 1
894173486, 0
894173508, 1
894173534, 0
894173535, 1
894173702, 0
894173727, 1
894173774, 0
894173820, 1
894173918, 0
894639872, 1
894639945, 0
894640112, 1
894640137, 0
894640304, 1
894640402, 0
894640448, 1
894640474, 0
894640520, 1
894640570, 0
894640592, 1
894640617, 0
894640618, 1
894640786, 0
894640810, 1
894640858, 0
894640904, 1
894641002, 0
895106955, 1
895107029, 0
895107195, 1
895107221, 0
895107387, 1
895107485, 0
895107531, 1
895107557, 0
895107579, 1
895107653, 0
895107675, 1
895107869, 0
895107894, 1
895107941, 0
895107987, 1
895108085, 0
895574086, 1
895574160, 0
895574326, 1
895574352, 0
895574518, 1
895574616, 0
895574662, 1
895574712, 0
895574734, 1
895574784, 0
895574807, 1
895574832, 0
895574833, 1
895575000, 0
895575025, 1
895575072, 0
895575119, 1
895575216, 0
896041122, 1
896041196, 0
896041362, 1
896041388, 0
896041554, 1
896041652, 0
896041698, 1
896041724, 0
896041746, 1
896041772, 0
896041794, 1
896041820, 0
896041842, 1
896042036, 0
896042060, 1
896042108, 0
896042154, 1
896042252, 0
896508205, 1
896508279, 0
896508445, 1
896508471, 0
896508637, 1
896508735, 0
896508781, 1
896508831, 0
896508877, 1
896508903, 0
896508925, 1
896508951, 0
896508952, 1
896509119, 0
896509144, 1
896509191, 0
896509237, 1
896509335, 0
896975312, 1
896975386, 0
896975553, 1
896975578, 0
896975745, 1
896975842, 0
896975889, 1
896975914, 0
896975961, 1
896976010, 0
896976033, 1
896976058, 0
896976059, 1
896976226, 0
896976251, 1
896976299, 0
896976345, 1
896976443, 0
897442372, 1
897442446, 0
897442612, 1
897442638, 0
897442804, 1
897442902, 0
897442948, 1
897442974, 0
897442996, 1
897443070, 0
897443092, 1
897443286, 0
897443310, 1
897443358, 0
897443404, 1
897443502, 0
897909503, 1
897909577, 0
897909743, 1
897909769, 0
897909935, 1
897910033, 0
897910079, 1
897910129, 0
897910151, 1
897910201, 0
897910223, 1
897910249, 0
897910250, 1
897910417, 0
897910442, 1
897910489, 0
897910536, 1
897910633, 0
898376539, 1
898376612, 0
898376779, 1
898376805, 0
898376971, 1
898377069, 0
898377115, 1
898377141, 0
898377163, 1
898377189, 0
898377211, 1
898377237, 0
898377259, 1
898377284, 0
898377285, 1
898377453, 0
898377477, 1
898377525, 0
898377571, 1
898377669, 0
898843622, 1
898843696, 0
898843862, 1
898843888, 0
898844054, 1
898844152, 0
898844198, 1
898844248, 0
898844294, 1
898844320, 0
898844342, 1
898844536, 0
898844561, 1
898844608, 0
898844654, 1
898844752, 0
899310705, 1
899310779, 0
899310945, 1
899310971, 0
899311137, 1
899311235, 0
899311282, 1
899311307, 0
899311354, 1
899311403, 0
899311426, 1
899311451, 0
899311452, 1
899311619, 0
899311644, 1
899311691, 0
899311738, 1
899311835, 0
899777837, 1
899777911, 0
899778077, 1
899778103, 0
899778269, 1
899778367, 0
899778413, 1
899778439, 0
899778461, 1
899778535, 0
899778557, 1
899778751, 0
899778775, 1
899778823, 0
899778869, 1
899778967, 0
900244872, 1
900244946, 0
900245112, 1
900245138, 0
900245304, 1
900245402, 0
900245448, 1
900245498, 0
900245520, 1
900245570, 0
900245592, 1
900245618, 0
900245619, 1
900245786, 0
900245811, 1
900245858, 0
900245904, 1
900246002, 0
900711955, 1
900712029, 0
900712196, 1
900712221, 0
900712388, 1
900712485, 0
900712532, 1
900712557, 0
900712580, 1
900712606, 0
900712628, 1
900712654, 0
900712676, 1
900712701, 0
900712702, 1
900712870, 0
900712894, 1
900712942, 0
900712988, 1
900713086, 0
901179063, 1
901179137, 0
901179303, 1
901179329, 0
